Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Fender,2018,Basswood,Standard,FSR 50s Stratocaster,6 String,Lake Placid Blue,Solid,Right-Handed,719.99
Fender,1996,,Fender Stratocaster,Stratocaster,6 String,Vintage White,Solid,Right-Handed,625.00
Fender,2015,,Fender Stratocaster,,6 String,Red,,Right-Handed,1095.95
Fender,2019,Alder,Fender Ultra,American Ultra Telecaster,6 String,Arctic Pearl,Solid,Right-Handed,1899.99
Fender,,,Fender Stratocaster,Standard Stratocaster,,White,Solid,,599.99
Fender,,,,,,,,,349.99
,2003,,,ERIC CLAPTON STRATOCASTER "BLACKIE",,,,,1099.00
Fender,,,,,,,,,899.99
VR (Vintage Relic),2018,'Solid Wood, Alder',,Telecaster,6 String,Fiesta Red,Solid,,799.00
Fender,2004,,Fender Stratocaster,Stratocaster FMT,,Cherry Sunburst,,,449.95
Fender,,,,0370327505,,,,,399.99
Fender,,,,,,,,,2249.99
Fender,2019,Solid Wood,American Performer Strat,Stratocaster,6 String,Honey Burst,Solid,,989.00
